Model,Coin,Split,Threshold,Window,accuracy,precision,recall,f1,roc_auc,pr_auc,note,n_train,n_train_pos,n_test,n_test_pos,pub_accuracy,pub_precision,pub_recall,pub_f1
Random Forest,USDC,random,fixed,full,1.0,0.0,0.0,0.0,,,fitted,352,1,152,0,0.994,1.0,0.75,0.857
XGBoost,USDC,random,fixed,full,1.0,0.0,0.0,0.0,,,fitted,352,1,152,0,0.982,0.6,0.75,0.667
Logistic Regression,USDC,chrono_2023,fixed,full,1.0,0.0,0.0,0.0,,,fitted,239,1,265,0,0.928,0.167,0.5,0.25
Random Forest,USDC,chrono_2023,fixed,full,1.0,0.0,0.0,0.0,,,fitted,239,1,265,0,0.994,1.0,0.75,0.857
XGBoost,USDC,chrono_2023,fixed,full,1.0,0.0,0.0,0.0,,,fitted,239,1,265,0,0.982,0.6,0.75,0.667
Logistic Regression,USDC,chrono_may,fixed,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.928,0.167,0.5,0.25
Random Forest,USDC,chrono_may,fixed,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.994,1.0,0.75,0.857
XGBoost,USDC,chrono_may,fixed,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.982,0.6,0.75,0.667
Logistic Regression,BUSD,random,fixed,full,0.9951219512195122,0.5,1.0,0.6666666666666666,1.0,1.0,fitted,478,1,205,1,0.869,0.783,0.735,0.758
Random Forest,BUSD,random,fixed,full,0.9951219512195122,0.0,0.0,0.0,0.4877450980392157,0.004878048780487805,fitted,478,1,205,1,0.891,0.788,0.837,0.812
XGBoost,BUSD,random,fixed,full,0.9951219512195122,0.0,0.0,0.0,0.5,0.004878048780487805,fitted,478,1,205,1,0.88,0.792,0.776,0.784
Logistic Regression,BUSD,chrono_2023,fixed,full,0.9942528735632183,0.0,0.0,0.0,,,fitted,335,2,348,0,0.869,0.783,0.735,0.758
Random Forest,BUSD,chrono_2023,fixed,full,1.0,0.0,0.0,0.0,,,fitted,335,2,348,0,0.891,0.788,0.837,0.812
XGBoost,BUSD,chrono_2023,fixed,full,0.9942528735632183,0.0,0.0,0.0,,,fitted,335,2,348,0,0.88,0.792,0.776,0.784
Logistic Regression,BUSD,chrono_may,fixed,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.869,0.783,0.735,0.758
Random Forest,BUSD,chrono_may,fixed,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.891,0.788,0.837,0.812
XGBoost,BUSD,chrono_may,fixed,may,0.9814814814814815,0.0,0.0,0.0,0.5,0.018518518518518517,no positives in train,37,0,54,1,0.88,0.792,0.776,0.784
Logistic Regression,DAI,random,fixed,full,0.9952380952380953,0.5,1.0,0.6666666666666666,0.9952153110047847,0.5,fitted,489,2,210,1,0.929,0.214,0.75,0.333
Random Forest,DAI,random,fixed,full,0.9952380952380953,0.0,0.0,0.0,1.0,1.0,fitted,489,2,210,1,0.982,0.667,0.5,0.571
XGBoost,DAI,random,fixed,full,0.9952380952380953,0.0,0.0,0.0,0.9425837320574163,0.07692307692307693,fitted,489,2,210,1,0.982,0.667,0.5,0.571
Logistic Regression,DAI,chrono_2023,fixed,full,0.9917582417582418,0.0,0.0,0.0,0.5,0.008241758241758242,no positives in train,335,0,364,3,0.929,0.214,0.75,0.333
Random Forest,DAI,chrono_2023,fixed,full,0.9917582417582418,0.0,0.0,0.0,0.5,0.008241758241758242,no positives in train,335,0,364,3,0.982,0.667,0.5,0.571
XGBoost,DAI,chrono_2023,fixed,full,0.9917582417582418,0.0,0.0,0.0,0.5,0.008241758241758242,no positives in train,335,0,364,3,0.982,0.667,0.5,0.571
Logistic Regression,DAI,chrono_may,fixed,may,1.0,0.0,0.0,0.0,,,no positives in train,37,0,54,0,0.929,0.214,0.75,0.333
Random Forest,DAI,chrono_may,fixed,may,1.0,0.0,0.0,0.0,,,no positives in train,37,0,54,0,0.982,0.667,0.5,0.571
XGBoost,DAI,chrono_may,fixed,may,1.0,0.0,0.0,0.0,,,no positives in train,37,0,54,0,0.982,0.667,0.5,0.571
Logistic Regression,POOLED,random,fixed,full,0.9561855670103093,0.08108108108108109,1.0,0.15,0.9939629150495904,0.3547008547008547,fitted,1809,7,776,3,,,,
Random Forest,POOLED,random,fixed,full,0.9922680412371134,0.2,0.3333333333333333,0.25,0.9767141009055628,0.2815126050420168,fitted,1809,7,776,3,,,,
XGBoost,POOLED,random,fixed,full,0.9922680412371134,0.2857142857142857,0.6666666666666666,0.4,0.9952565761103924,0.7380952380952381,fitted,1809,7,776,3,,,,
Logistic Regression,POOLED,chrono_2023,fixed,full,0.9865771812080537,0.19047619047619047,0.8,0.3076923076923077,0.9458832335329341,0.35520581113801447,fitted,1244,5,1341,5,,,,
Random Forest,POOLED,chrono_2023,fixed,full,0.9962714392244594,0.0,0.0,0.0,0.783308383233533,0.044163038410401784,fitted,1244,5,1341,5,,,,
XGBoost,POOLED,chrono_2023,fixed,full,0.9962714392244594,0.0,0.0,0.0,0.9866017964071856,0.16587586390217968,fitted,1244,5,1341,5,,,,
